Title,Genre,Release date,No. of seasons,No. of episodes,Status,Last aired,Duration,Original language,Rating,Actor
Arcane,{Action Adventure Animation Steampunk},Nov 06 2021,1,9,Ongoing,-,39-44 minutes,English,9,Hailee,Steinfeld
Arcane,{Action Adventure Animation Steampunk},Nov 06 2021,1,9,Ongoing,-,39-44 minutes,English,9,Ella,Purnell
Arcane,{Action Adventure Animation Steampunk},Nov 06 2021,1,9,Ongoing,-,39-44 minutes,English,9,Kevin,Alejandro
Arcane,{Action Adventure Animation Steampunk},Nov 06 2021,1,9,Ongoing,-,39-44 minutes,English,9,Katie,Leung
Arcane,{Action Adventure Animation Steampunk},Nov 06 2021,1,9,Ongoing,-,39-44 minutes,English,9,Jason,Spisak
Arcane,{Action Adventure Animation Steampunk},Nov 06 2021,1,9,Ongoing,-,39-44 minutes,English,9,Harry,Lloyd
Arcane,{Action Adventure Animation Steampunk},Nov 06 2021,1,9,Ongoing,-,39-44 minutes,English,9,Mick,Wingert
Squid Game,{Survival Drama Thriller},Sep 07 2021,1,9,Ongoing,-,32-63 minutes,Korean,8,Lee,Jung-jae
Squid Game,{Survival Drama Thriller},Sep 07 2021,1,9,Ongoing,-,32-63 minutes,Korean,8,Park,Hae-soo
Squid Game,{Survival Drama Thriller},Sep 07 2021,1,9,Ongoing,-,32-63 minutes,Korean,8,Wi,Ha-joon
Squid Game,{Survival Drama Thriller},Sep 07 2021,1,9,Ongoing,-,32-63 minutes,Korean,8,HoYeon,Jung
Squid Game,{Survival Drama Thriller},Sep 07 2021,1,9,Ongoing,-,32-63 minutes,Korean,8,O,Yeong-su
Squid Game,{Survival Drama Thriller},Sep 07 2021,1,9,Ongoing,-,32-63 minutes,Korean,8,Heo,Sung-tae
Squid Game,{Survival Drama Thriller},Sep 07 2021,1,9,Ongoing,-,32-63 minutes,Korean,8,Anupam,Tripathi
Breaking Bad,{Crime drama Thriller Serial drama Black comedy},Jan 20 2008,5,62,Finished,2013,43-58 minutes,English,9.5,Bryan,Cranston
Breaking Bad,{Crime drama Thriller Serial drama Black comedy},Jan 20 2008,5,62,Finished,2013,43-58 minutes,English,9.5,Aaron,Paul
Breaking Bad,{Crime drama Thriller Serial drama Black comedy},Jan 20 2008,5,62,Finished,2013,43-58 minutes,English,9.5,Anna,Gunn
Breaking Bad,{Crime drama Thriller Serial drama Black comedy},Jan 20 2008,5,62,Finished,2013,43-58 minutes,English,9.5,Dean,Norris
Breaking Bad,{Crime drama Thriller Serial drama Black comedy},Jan 20 2008,5,62,Finished,2013,43-58 minutes,English,9.5,Betsy,Brandt
Breaking Bad,{Crime drama Thriller Serial drama Black comedy},Jan 20 2008,5,62,Finished,2013,43-58 minutes,English,9.5,Bob,Odenkirk
Breaking Bad,{Crime drama Thriller Serial drama Black comedy},Jan 20 2008,5,62,Finished,2013,43-58 minutes,English,9.5,Giancarlo,Esposito
Breaking Bad,{Crime drama Thriller Serial drama Black comedy},Jan 20 2008,5,62,Finished,2013,43-58 minutes,English,9.5,Jonathan,Banks
Tear Along the Dotted Line,{Adult animation Comedy drama},Nov 19 2021,1,6,Finished,2021,16-22 minutes,Italian,8.6,Michele,Rech
Tear Along the Dotted Line,{Adult animation Comedy drama},Nov 19 2021,1,6,Finished,2021,16-22 minutes,Italian,8.6,Valerio,Mastandrea
Tear Along the Dotted Line,{Adult animation Comedy drama},Nov 19 2021,1,6,Finished,2021,16-22 minutes,Italian,8.6,Paolo,Vivio
Tear Along the Dotted Line,{Adult animation Comedy drama},Nov 19 2021,1,6,Finished,2021,16-22 minutes,Italian,8.6,Veronica,Puccio
Tear Along the Dotted Line,{Adult animation Comedy drama},Nov 19 2021,1,6,Finished,2021,16-22 minutes,Italian,8.6,Chiara,Gioncardi
Hannibal,{Psychological horror Psychological thriller Crime drama Crime thriller},Apr 04 2013,3,39,Finished,2015,43 minutes,English,8.5,Hugh,Dancy
Hannibal,{Psychological horror Psychological thriller Crime drama Crime thriller},Apr 04 2013,3,39,Finished,2015,43 minutes,English,8.5,Mads,Mikkelsen
Hannibal,{Psychological horror Psychological thriller Crime drama Crime thriller},Apr 04 2013,3,39,Finished,2015,43 minutes,English,8.5,Caroline,Dhavernas
Hannibal,{Psychological horror Psychological thriller Crime drama Crime thriller},Apr 04 2013,3,39,Finished,2015,43 minutes,English,8.5,Laurence,Fishburne
Hannibal,{Psychological horror Psychological thriller Crime drama Crime thriller},Apr 04 2013,3,39,Finished,2015,43 minutes,English,8.5,Gillian,Anderson
Hannibal,{Psychological horror Psychological thriller Crime drama Crime thriller},Apr 04 2013,3,39,Finished,2015,43 minutes,English,8.5,Raul,Esparza
True Detective,{Anthology Crime drama Detective Mystery Neo-noir Southern Gothic},Jan 12 2014,3,24,Ongoing,-,54-87 minutes,English,8.9,Matthew,McConaughey
True Detective,{Anthology Crime drama Detective Mystery Neo-noir Southern Gothic},Jan 12 2014,3,24,Ongoing,-,54-87 minutes,English,8.9,Woody,Harrelson
True Detective,{Anthology Crime drama Detective Mystery Neo-noir Southern Gothic},Jan 12 2014,3,24,Ongoing,-,54-87 minutes,English,8.9,Michelle,Monaghan
True Detective,{Anthology Crime drama Detective Mystery Neo-noir Southern Gothic},Jan 12 2014,3,24,Ongoing,-,54-87 minutes,English,8.9,Colin,Farrell
True Detective,{Anthology Crime drama Detective Mystery Neo-noir Southern Gothic},Jan 12 2014,3,24,Ongoing,-,54-87 minutes,English,8.9,Vince,Vaughn
True Detective,{Anthology Crime drama Detective Mystery Neo-noir Southern Gothic},Jan 12 2014,3,24,Ongoing,-,54-87 minutes,English,8.9,Rachel,McAdams
True Detective,{Anthology Crime drama Detective Mystery Neo-noir Southern Gothic},Jan 12 2014,3,24,Ongoing,-,54-87 minutes,English,8.9,Taylor,Kitsch
True Detective,{Anthology Crime drama Detective Mystery Neo-noir Southern Gothic},Jan 12 2014,3,24,Ongoing,-,54-87 minutes,English,8.9,Mahershala,Ali
True Detective,{Anthology Crime drama Detective Mystery Neo-noir Southern Gothic},Jan 12 2014,3,24,Ongoing,-,54-87 minutes,English,8.9,Stephen,Dorff
True Detective,{Anthology Crime drama Detective Mystery Neo-noir Southern Gothic},Jan 12 2014,3,24,Ongoing,-,54-87 minutes,English,8.9,Scoot,McNairy
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Billy Bob,Thornton
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Martin,Freeman
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Patrick,Wilson
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Kirsten,Dunst
Fargo,{Anthology Crime drama Noir Thriller Black comedy},Apr 15 2014,4,41,Ongoing,-,39-68 minutes,English,8.9,Jesse,Plemons
